word,taglist,start,end
4(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f4'}}]",16026,16030
M,[{'sub': {}}],16056,16057
C,[{'sub': {}}],16062,16063
33–35,"[{'xref': {'ref-type': 'bibr', 'rid': 'c33 c34 c35'}}, {'sup': {}}]",16477,16482
M,[{'sub': {}}],16584,16585
M,[{'sub': {}}],16727,16728
C,[{'sub': {}}],16733,16734
et al.,[{'italic': {}}],16859,16865
49,[{'sub': {}}],16942,16944
13,[{'sub': {}}],16946,16948
38,[{'sub': {}}],16950,16952
35,"[{'xref': {'ref-type': 'bibr', 'rid': 'c35'}}, {'sup': {}}]",16959,16961
M,[{'sub': {}}],16970,16971
C,[{'sub': {}}],17092,17093
g,[{'sub': {}}],17102,17103
M,[{'sub': {}}],17108,17109
14,"[{'xref': {'ref-type': 'bibr', 'rid': 'c14'}}, {'sup': {}}]",17244,17246
M,[{'sub': {}}],17331,17332
C,[{'sub': {}}],17358,17359
et al.,[{'italic': {}}],17472,17478
36,"[{'xref': {'ref-type': 'bibr', 'rid': 'c36'}}, {'sup': {}}]",17598,17600
C,[{'sub': {}}],17664,17665
M,[{'sub': {}}],17728,17729
(5),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd5'}}]",17751,17754
C,[{'sub': {}}],17845,17846
37,"[{'xref': {'ref-type': 'bibr', 'rid': 'c37'}}, {'sup': {}}]",17870,17872
38,"[{'xref': {'ref-type': 'bibr', 'rid': 'c38'}}, {'sup': {}}]",17988,17990
C,[{'sub': {}}],18253,18254
P,[{'sub': {}}],18344,18345
36,"[{'xref': {'ref-type': 'bibr', 'rid': 'c36'}}, {'sup': {}}]",18430,18432
P,[{'sub': {}}],18492,18493
5(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",18557,18561
P,[{'sub': {}}],18612,18613
C,[{'sub': {}}],18707,18708
P,[{'sub': {}}],18725,18726
C,[{'sub': {}}],18767,18768
C,[{'sub': {}}],18796,18797
M,[{'sub': {}}],18863,18864
hot,[{'sub': {}}],19022,19025
cold,[{'sub': {}}],19038,19042
M,[{'sub': {}}],19273,19274
FWHM,[{'sub': {}}],19314,19318
hot,[{'sub': {}}],19322,19325
cold,[{'sub': {}}],19329,19333
C,[{'sub': {}}],19453,19454
g,[{'sub': {}}],19467,19468
39,"[{'xref': {'ref-type': 'bibr', 'rid': 'c39'}}, {'sup': {}}]",19472,19474
C,[{'sub': {}}],19506,19507
g,[{'sub': {}}],19520,19521
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",19573,19577
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",19596,19600
C,[{'sub': {}}],19808,19809
g,[{'sub': {}}],19823,19824
C,[{'sub': {}}],19914,19915
g,[{'sub': {}}],19921,19922
4,[{'sub': {}}],19955,19956
7,[{'sub': {}}],19957,19958
40,"[{'xref': {'ref-type': 'bibr', 'rid': 'c40'}}, {'sup': {}}]",19959,19961
3,[{'sub': {}}],19967,19968
41,"[{'xref': {'ref-type': 'bibr', 'rid': 'c41'}}, {'sup': {}}]",19969,19971
50,[{'sub': {}}],19978,19980
36,[{'sub': {}}],19982,19984
14,[{'sub': {}}],19986,19988
42,"[{'xref': {'ref-type': 'bibr', 'rid': 'c42'}}, {'sup': {}}]",19988,19990
C,[{'sub': {}}],20060,20061
C,[{'sub': {}}],20318,20319
37,"[{'xref': {'ref-type': 'bibr', 'rid': 'c37'}}, {'sup': {}}]",20705,20707
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",20754,20758
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",20777,20781
C,[{'sub': {}}],20911,20912
g,[{'sub': {}}],20918,20919
(6),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd6'}}]",20944,20947
C,[{'sub': {}}],20999,21000
x,[{'sub': {}}],21130,21131
2−x,[{'sub': {}}],21133,21136
6,[{'sub': {}}],21141,21142
C,[{'sub': {}}],21176,21177
43,"[{'xref': {'ref-type': 'bibr', 'rid': 'c43'}}, {'sup': {}}]",21178,21180
44,"[{'xref': {'ref-type': 'bibr', 'rid': 'c44'}}, {'sup': {}}]",21553,21555
et al.,[{'italic': {}}],21678,21684
45,"[{'xref': {'ref-type': 'bibr', 'rid': 'c45'}}, {'sup': {}}]",21684,21686
6(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",21694,21698
46,"[{'xref': {'ref-type': 'bibr', 'rid': 'c46'}}, {'sup': {}}]",21978,21980
6(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",22215,22219
2+,[{'sup': {}}],22835,22837
2g,[{'sub': {}}],22840,22842
5,[{'sup': {}}],22842,22843
g,[{'sub': {}}],22844,22845
2,[{'sup': {}}],22845,22846
4+,[{'sup': {}}],22852,22854
2g,[{'sub': {}}],22856,22858
3,[{'sup': {}}],22858,22859
g,[{'sub': {}}],22860,22861
0,[{'sup': {}}],22861,22862
3+,[{'sup': {}}],22873,22875
2g,[{'sub': {}}],22878,22880
5,[{'sup': {}}],22880,22881
g,[{'sub': {}}],22882,22883
1,[{'sup': {}}],22883,22884
4+,[{'sup': {}}],22890,22892
2g,[{'sub': {}}],22895,22897
5,[{'sup': {}}],22897,22898
g,[{'sub': {}}],22899,22900
1,[{'sup': {}}],22900,22901
6(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",23493,23497
C,[{'sub': {}}],24100,24101
6(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",24110,24114
6(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",24626,24630
0,[{'sub': {}}],24668,24669
T,"[{'mi': {}}, {'base': 'msub'}, {'tag': 'mathML'}]",24688,24689
0,"[{'mn': {}}, {'sub': 'msub'}, {'tag': 'mathML'}]",24689,24690
=,"[{'mo': {}}, {'tag': 'mathML'}]",24690,24691
4,"[{'mn': {}}, {'numerator': 'mfrac'}, {'tag': 'mathML'}]",24691,24692
E,"[{'mi': {}}, {'base': 'msub'}, {'numerator': 'mfrac'}, {'tag': 'mathML'}]",24692,24693
A,"[{'mi': {}}, {'sub': 'msub'}, {'numerator': 'mfrac'}, {'tag': 'mathML'}]",24693,24694
K,"[{'mi': {}}, {'base': 'msub'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",24694,24695
B,"[{'mi': {}}, {'sub': 'msub'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",24695,24696
T,"[{'mi': {}}, {'base': 'msup'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",24696,24697
3,"[{'mn': {}}, {'sup': 'msup'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",24697,24698
/,"[{'mo': {}}, {'sup': 'msup'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",24698,24699
4,"[{'mn': {}}, {'sup': 'msup'}, {'denominator': 'mfrac'}, {'tag': 'mathML'}]",24699,24700
B,[{'sub': {}}],24703,24704
A,[{'sub': {}}],24737,24738
A,[{'sub': {}}],24808,24809
2,[{'sub': {}}],25062,25063
6,[{'sub': {}}],25068,25069
"23,24,47","[{'xref': {'ref-type': 'bibr', 'rid': 'c23 c24 c47'}}, {'sup': {}}]",25145,25153
2+,[{'sup': {}}],25185,25187
3+,[{'sup': {}}],25199,25201
4+,[{'sup': {}}],25231,25233
2–,[{'sup': {}}],25235,25237
2+,[{'sup': {}}],25240,25242
3+,[{'sup': {}}],25252,25254
2–,[{'sup': {}}],25256,25258
3+,[{'sup': {}}],25261,25263
4+,[{'sup': {}}],25302,25304
3+,[{'sup': {}}],25307,25309
2–,[{'sup': {}}],25311,25313
4+,[{'sup': {}}],25316,25318
3+,[{'sup': {}}],25321,25323
3+,[{'sup': {}}],25333,25335
2+,[{'sup': {}}],25338,25340
2–,[{'sup': {}}],25342,25344
3+,[{'sup': {}}],25347,25349
2+,[{'sup': {}}],25352,25354
G,[{'sub': {}}],26175,26176
M,[{'sub': {}}],26264,26265
C,[{'sub': {}}],26359,26360
g,[{'sub': {}}],26375,26376
M,[{'sub': {}}],26417,26418
g,[{'sub': {}}],26427,26428
M,[{'sub': {}}],26461,26462
C,[{'sub': {}}],26467,26468
C,[{'sub': {}}],26648,26649
Space group,"[{'th': {'align': 'left', 'colspan': '1', 'rowspan': '1'}}]",27262,27273
a (Å),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27273,27278
b (Å),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27278,27283
c (Å),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27283,27288
Angle (deg),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27288,27299
Volume (Å,"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27299,27308
3,"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}, {'sup': {}}]",27308,27309
),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27309,27310
χ,"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27310,27311
2,"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}, {'sup': {}}]",27311,27312
P2,"[{'th': {'align': 'left', 'colspan': '1', 'rowspan': '1'}}]",27312,27314
1,"[{'th': {'align': 'left', 'colspan': '1', 'rowspan': '1'}}, {'sub': {}}]",27314,27315
/n (14),"[{'th': {'align': 'left', 'colspan': '1', 'rowspan': '1'}}]",27315,27322
5.425 (3),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27322,27331
5.457 (2),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27331,27340
7.676(4),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27340,27348
α = γ = 90.0,"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27348,27360
227.28(2),"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27360,27369
2.05,"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27369,27373
β = 89.89 (4),"[{'th': {'align': 'center', 'colspan': '7', 'rowspan': '1'}}]",27373,27386
Bond angle (°)θ,"[{'th': {'align': 'left', 'colspan': '1', 'rowspan': '1'}}]",27386,27401
Site,"[{'th': {'align': 'center', 'colspan': '1', 'rowspan': '1'}}]",27401,27405
Bond length (Å) d,"[{'th': {'align': 'center', 'colspan': '2', 'rowspan': '1'}}]",27405,27422
TM-O,"[{'th': {'align': 'center', 'colspan': '2', 'rowspan': '1'}}, {'sub': {}}]",27422,27426
Bond length (Å) d,"[{'th': {'align': 'center', 'colspan': '3', 'rowspan': '1'}}]",27426,27443
TM-TM,"[{'th': {'align': 'center', 'colspan': '3', 'rowspan': '1'}}, {'sub': {}}]",27443,27448
O1-TM-O1 = 180.0,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27448,27464
2d,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27464,27466
Co-O1 = 2.035 (9),"[{'td': {'colspan': '2', 'rowspan': '1'}}]",27466,27483
Mn-Co = 4.070 (5) for O1,"[{'td': {'colspan': '3', 'rowspan': '1'}}]",27483,27507
O2-TM-O2 = 180.0,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27507,27523
Co-O2 = 1.914 (5),"[{'td': {'colspan': '2', 'rowspan': '1'}}]",27523,27540
O3-TM-O3 = 180.0,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27540,27556
Co-O3 = 1.837 (4),"[{'td': {'colspan': '2', 'rowspan': '1'}}]",27556,27573
Mn-Co = 3.852 (9) for O2,"[{'td': {'colspan': '3', 'rowspan': '1'}}]",27573,27597
Co-O1-Mn = 140.99,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27597,27614
2c,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27614,27616
Mn-O1 = 2.035 (9),"[{'td': {'colspan': '2', 'rowspan': '1'}}]",27616,27633
Co-O2-Mn = 174.01,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27633,27650
Mn-O2 = 1.938 (4),"[{'td': {'colspan': '2', 'rowspan': '1'}}]",27650,27667
Co-O3-Mn = 151.41,"[{'td': {'colspan': '1', 'rowspan': '1'}}]",27667,27684
Mn-O3 = 2.132 (4),"[{'td': {'colspan': '2', 'rowspan': '1'}}]",27684,27701
Mn-Co = 3.969 (8) for O3,"[{'td': {'colspan': '3', 'rowspan': '1'}}]",27701,27725
6,[{'sub': {}}],27987,27988
6,[{'sub': {}}],27996,27997
(,"[{'mo': {'stretchy': 'false'}}, {'tag': 'mathML'}]",28453,28454
T,"[{'mi': {}}, {'tag': 'mathML'}]",28454,28455
−,"[{'mo': {}}, {'tag': 'mathML'}]",28455,28456
T,"[{'mi': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",28456,28457
C,"[{'mi': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",28457,28458
Rand,"[{'mtext': 'italic'}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",28458,28462
),"[{'mo': {'stretchy': 'false'}}, {'tag': 'mathML'}]",28462,28463
χ,"[{'mo': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",28574,28575
1,"[{'mn': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",28575,28576
R,"[{'mi': {}}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",28576,28577
T,[{'italic': {}}],28578,28579
ac,[{'sub': {}}],28601,28603
M,[{'sub': {}}],28967,28968
C,[{'sub': {}}],29035,29036
g,[{'sub': {}}],29049,29050
P,[{'sub': {}}],29093,29094
C,[{'sub': {}}],29252,29253
g,[{'sub': {}}],29259,29260
(9),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd9'}}]",29328,29331
−0.25,[{'sup': {}}],29719,29724
